2022-01-01 10:09:58.081626
2022-01-01 13:35:23.196631
2022-01-01 13:40:33.214176
2022-01-01 13:53:58.184859
2022-01-01 14:04:38.357252
2022-01-01 14:22:02.316316
2022-01-01 14:34:57.787132
2022-01-01 14:48:22.273180
2022-01-01 14:55:24.800241
2022-01-01 15:04:12.951952
2022-01-01 15:20:16.566024
2022-01-01 15:29:08.835660
2022-01-01 15:36:38.338807
2022-01-01 15:43:22.831133
2022-01-01 15:54:12.706143
2022-01-01 16:09:27.846932
2022-01-01 16:16:32.340810
2022-01-01 16:26:24.851566
2022-01-01 16:31:57.750346
2022-01-01 16:51:36.692362
2022-01-01 17:00:47.904659
2022-01-01 17:28:11.130818
2022-01-01 17:36:12.028261
2022-01-01 17:45:08.173794
2022-01-01 18:12:24.387081
2022-01-01 18:34:18.912318
2022-01-01 18:39:14.808023
2022-01-01 18:44:41.704267
2022-01-01 18:53:26.836044
2022-01-01 19:02:44.003394
2022-01-01 19:16:38.812411
2022-01-01 19:22:56.011247
2022-01-01 19:33:36.938612
2022-01-01 20:07:43.510875
2022-01-01 20:16:17.354817
2022-01-01 20:22:45.913447
2022-01-01 20:37:11.842806
2022-01-01 20:47:01.326987
2022-01-01 20:56:14.539477
2022-01-01 21:01:20.377919
2022-01-01 21:10:14.533584
2022-01-01 21:21:09.358097
2022-01-01 21:28:09.950063
2022-01-01 21:37:38.124126
2022-01-01 21:47:27.597623
2022-01-01 21:56:45.762908
2022-01-02 10:58:50.501325
2022-01-02 11:09:17.128510
2022-01-02 11:15:14.373186
2022-01-02 11:20:16.239524
2022-01-02 11:27:17.793620
2022-01-02 11:34:23.380929
2022-01-02 11:41:20.938517
2022-01-02 11:50:39.173242
2022-01-02 11:56:15.355516
2022-01-02 12:01:38.215932
2022-01-02 12:16:40.456741
2022-01-02 12:30:31.325360
2022-01-02 12:46:44.856442
2022-01-02 13:05:57.420379
2022-01-02 13:11:40.594219
2022-01-02 13:19:59.442482
2022-01-02 13:26:11.662477
2022-01-02 13:35:14.922059
2022-01-02 14:11:03.979140
2022-01-02 14:26:20.088136
2022-01-02 14:31:23.960744
2022-01-02 14:36:18.822434
2022-01-02 14:41:26.727073
2022-01-02 14:49:37.580184
2022-01-02 15:08:30.066587
2022-01-02 15:19:44.939263
2022-01-02 15:26:30.451403
2022-01-02 15:34:30.312418
2022-01-02 15:47:03.433427
2022-01-02 15:54:53.243783
2022-01-02 16:01:08.491884
2022-01-02 16:17:56.292586
2022-01-02 16:23:56.488210
2022-01-02 16:29:11.394161
2022-01-02 16:48:03.932785
2022-01-02 16:57:13.127335
2022-01-02 17:12:11.311838
2022-01-02 17:17:07.163280
2022-01-02 17:37:09.997994
2022-01-02 17:43:39.178167
2022-01-02 17:53:22.682695
2022-01-02 18:06:34.203123
2022-01-02 18:14:46.070130
2022-01-02 18:29:37.320778
2022-01-02 18:34:46.256085
2022-01-02 18:42:04.771131
2022-01-02 18:49:52.578563
2022-01-02 19:02:44.035503
2022-01-02 19:08:44.217510
2022-01-02 19:16:56.101817
2022-01-02 19:23:19.342125
2022-01-02 19:29:01.509231
2022-01-02 19:37:06.361067
2022-01-02 19:44:11.898043
2022-01-02 19:49:59.089940
2022-01-02 19:56:11.308928
2022-01-02 20:04:12.159132
2022-01-02 20:10:27.369880
2022-01-02 20:22:13.550521
2022-01-02 20:27:38.409576
2022-01-02 20:32:46.267159
2022-01-02 20:44:17.392593
2022-01-02 20:52:46.250259
2022-01-02 21:02:28.745032
2022-01-02 21:07:49.636833
2022-01-02 21:13:36.861731
2022-01-02 21:19:32.033812
2022-01-02 21:32:07.190886
2022-01-02 21:38:05.381290
2022-01-02 21:46:55.632907
2022-01-02 21:54:56.516686
2022-01-02 21:59:59.450754
